Nombre Localidad;Eje Vial
ANTONIO NARIÑO;TV 29ABIS
ANTONIO NARIÑO;TV 24BBIS
ANTONIO NARIÑO;KR 29C
ANTONIO NARIÑO;KR 29B
ANTONIO NARIÑO;KR 29A
ANTONIO NARIÑO;KR 29
ANTONIO NARIÑO;KR 25
ANTONIO NARIÑO;KR 24F
ANTONIO NARIÑO;KR 24B
ANTONIO NARIÑO;KR 16
ANTONIO NARIÑO;KR 12D
ANTONIO NARIÑO;KR 12BIS
ANTONIO NARIÑO;KR 12
ANTONIO NARIÑO;KR 11A
ANTONIO NARIÑO;CL 22 S
ANTONIO NARIÑO;CL 18 S
ANTONIO NARIÑO;CL 12A S
ANTONIO NARIÑO;CL 5 S
ANTONIO NARIÑO;CL 4 S
BARRIOS UNIDOS;KR 67
BARRIOS UNIDOS;KR 66
BARRIOS UNIDOS;KR 64
BARRIOS UNIDOS;KR 60
BARRIOS UNIDOS;KR 59
BARRIOS UNIDOS;KR 58
BARRIOS UNIDOS;KR 57B
BARRIOS UNIDOS;KR 57
BARRIOS UNIDOS;KR 55BIS
BARRIOS UNIDOS;KR 55
BARRIOS UNIDOS;KR 54
BARRIOS UNIDOS;KR 50B
BARRIOS UNIDOS;KR 47A
BARRIOS UNIDOS;KR 29C
BARRIOS UNIDOS;KR 28A
BARRIOS UNIDOS;KR 27B
BARRIOS UNIDOS;KR 26
BARRIOS UNIDOS;KR 23
BARRIOS UNIDOS;KR 22
BARRIOS UNIDOS;KR 20C
BARRIOS UNIDOS;DG 79B
BARRIOS UNIDOS;DG 76BIS
BARRIOS UNIDOS;CL 98
BARRIOS UNIDOS;CL 94
BARRIOS UNIDOS;CL 93
BARRIOS UNIDOS;CL 86A
BARRIOS UNIDOS;CL 85A
BARRIOS UNIDOS;CL 79
BARRIOS UNIDOS;CL 78
BARRIOS UNIDOS;CL 77
BARRIOS UNIDOS;CL 75B
BARRIOS UNIDOS;CL 75
BARRIOS UNIDOS;CL 74A
BARRIOS UNIDOS;CL 74
BARRIOS UNIDOS;CL 73
BARRIOS UNIDOS;CL 72A
BARRIOS UNIDOS;CL 67B
BARRIOS UNIDOS;CL 67
BARRIOS UNIDOS;CL 66A
BARRIOS UNIDOS;CL 66
BARRIOS UNIDOS;CL 64A
BARRIOS UNIDOS;CL 63DBIS
BARRIOS UNIDOS;CL 63C
BARRIOS UNIDOS;AK 63
BARRIOS UNIDOS;AK 60
BARRIOS UNIDOS;AK 24
BARRIOS UNIDOS;AC 100
BOSA;KR 100
BOSA;KR 97C
BOSA;KR 80K
BOSA;KR 79
BOSA;KR 78G
BOSA;KR 78DBISB
BOSA;KR 78C
BOSA;KR 77M
BOSA;KR 77H
BOSA;DG 69B S
BOSA;CL 73 S
BOSA;CL 71D S
BOSA;CL 71 S
BOSA;CL 70A S
BOSA;CL 65GBISA S
BOSA;CL 65D S
BOSA;CL 65C S
BOSA;CL 65B S
BOSA;CL 65 S
BOSA;CL 63 S
BOSA;CL 56H S
CANDELARIA;KR 6
CANDELARIA;KR 3
CANDELARIA;KR 1
CANDELARIA;CL 12B
CANDELARIA;CL 11
CANDELARIA;CL 9
CANDELARIA;CL 6A
CHAPINERO;TV 4BIS
CHAPINERO;KR 19C
CHAPINERO;KR 19B
CHAPINERO;KR 19A
CHAPINERO;KR 19
CHAPINERO;KR 16A
CHAPINERO;KR 16
CHAPINERO;KR 14
CHAPINERO;KR 13
CHAPINERO;KR 12A
CHAPINERO;KR 12
CHAPINERO;KR 11A
CHAPINERO;KR 10
CHAPINERO;KR 9A
CHAPINERO;KR 9
CHAPINERO;KR 8
CHAPINERO;KR 7A
CHAPINERO;KR 6
CHAPINERO;KR 5
CHAPINERO;KR 4BIS
CHAPINERO;KR 2 E
CHAPINERO;KR 1A
CHAPINERO;DG 38
CHAPINERO;CL 94
CHAPINERO;CL 93A
CHAPINERO;CL 92
CHAPINERO;CL 90
CHAPINERO;CL 86
CHAPINERO;CL 77
CHAPINERO;CL 76
CHAPINERO;CL 74
CHAPINERO;CL 73
CHAPINERO;CL 69A
CHAPINERO;CL 67A
CHAPINERO;CL 66
CHAPINERO;CL 62
CHAPINERO;CL 61
CHAPINERO;CL 55
CHAPINERO;CL 54A
